day,month,Year,tg,Lat,Lon
22,4,2006,13.049999,41.04,-7.037
23,4,2006,15.88,41.04,-7.037
24,4,2006,18.6,41.04,-7.037
25,4,2006,20.46,41.04,-7.037
26,4,2006,20.59,41.04,-7.037
27,4,2006,20.81,41.04,-7.037
28,4,2006,17.529999,41.04,-7.037
29,4,2006,15.589999,41.04,-7.037
30,4,2006,15.339999,41.04,-7.037
1,5,2006,16.22,41.04,-7.037
2,5,2006,17.59,41.04,-7.037
3,5,2006,17.56,41.04,-7.037
4,5,2006,16.75,41.04,-7.037
5,5,2006,15.089999,41.04,-7.037
6,5,2006,16.07,41.04,-7.037
7,5,2006,14.92,41.04,-7.037
8,5,2006,13.7,41.04,-7.037
9,5,2006,15.25,41.04,-7.037
10,5,2006,19.199999,41.04,-7.037
11,5,2006,20.13,41.04,-7.037
12,5,2006,17.43,41.04,-7.037
13,5,2006,18.25,41.04,-7.037
14,5,2006,19.939999,41.04,-7.037
15,5,2006,19.68,41.04,-7.037
16,5,2006,21.48,41.04,-7.037
17,5,2006,22.789999,41.04,-7.037
18,5,2006,21.0,41.04,-7.037
19,5,2006,17.39,41.04,-7.037
20,5,2006,17.99,41.04,-7.037
21,5,2006,18.27,41.04,-7.037
22,5,2006,14.299999,41.04,-7.037
23,5,2006,13.74,41.04,-7.037
24,5,2006,16.17,41.04,-7.037
25,5,2006,19.88,41.04,-7.037
26,5,2006,22.029999,41.04,-7.037
27,5,2006,24.16,41.04,-7.037
28,5,2006,26.17,41.04,-7.037
29,5,2006,25.289999,41.04,-7.037
30,5,2006,20.56,41.04,-7.037
31,5,2006,18.48,41.04,-7.037
1,6,2006,18.27,41.04,-7.037
2,6,2006,21.33,41.04,-7.037
3,6,2006,22.02,41.04,-7.037
4,6,2006,21.92,41.04,-7.037
5,6,2006,23.63,41.04,-7.037
6,6,2006,25.89,41.04,-7.037
7,6,2006,26.199999,41.04,-7.037
8,6,2006,25.369999,41.04,-7.037
9,6,2006,23.65,41.04,-7.037
10,6,2006,21.77,41.04,-7.037
11,6,2006,22.47,41.04,-7.037
12,6,2006,23.369999,41.04,-7.037
13,6,2006,22.98,41.04,-7.037
14,6,2006,21.34,41.04,-7.037
15,6,2006,21.63,41.04,-7.037
16,6,2006,21.64,41.04,-7.037
17,6,2006,20.96,41.04,-7.037
18,6,2006,20.38,41.04,-7.037
19,6,2006,22.13,41.04,-7.037
20,6,2006,22.33,41.04,-7.037
21,6,2006,22.98,41.04,-7.037
22,6,2006,24.859999,41.04,-7.037
23,6,2006,24.98,41.04,-7.037
24,6,2006,22.72,41.04,-7.037
25,6,2006,20.24,41.04,-7.037
26,6,2006,20.09,41.04,-7.037
27,6,2006,20.67,41.04,-7.037
28,6,2006,22.14,41.04,-7.037
29,6,2006,21.99,41.04,-7.037
30,6,2006,24.21,41.04,-7.037
1,7,2006,25.05,41.04,-7.037
