,budburst_pred
1995,70.0
1996,70.0
1997,61.0
1998,
1999,74.0
2000,67.0
2001,
2002,61.0
2003,68.0
2004,66.0
2005,83.0
2006,82.0
2007,70.0
2008,
2009,70.0
2010,71.0
2011,65.0
2012,69.0
2013,70.0
2014,70.0
