Year,budburst_ob
1995,65
1996,71
1997,62
1998,64
1999,81
2000,69
2001,61
2002,59
2003,69
2004,66
2005,87
2006,85
2007,73
2008,79
2009,75
2010,82
2011,81
2012,99
2013,77
2014,74
